ID_Client,Client,Genre,Age,Type_Client,Ville,Indice_HCP
141,Imane,Femme,29,Nouveau,Salé,75
142,Kenaza,Femme,42,Nouveau,Agadir,70
143,Ikram,Femme,34,Fidèle,Agadir,70
144,Said,Homme,20,Nouveau,Meknès,60
145,Intissar,Femme,52,Nouveau,Salé,75
146,Lamia,Femme,52,Nouveau,Agadir,70
147,Hicham,Homme,31,Nouveau,Kénitra,65
148,Jaouad,Homme,27,Nouveau,Tanger,75
149,Issam,Homme,41,Nouveau,Tanger,75
150,Majda,Femme,65,Nouveau,Salé,75
151,Abderrahmane,Homme,30,Nouveau,Tanger,75
152,Ikram,Femme,64,Nouveau,Laâyoune,55
153,Ismail,Homme,50,Nouveau,Tanger,75
154,Nisrine,Femme,37,Nouveau,Casablanca,95
155,Hassan,Homme,35,Nouveau,Casablanca,95
156,Mustapha,Homme,32,Nouveau,Fès,60
157,Hasna,Femme,20,Fidèle,Meknès,60
158,Jalal,Homme,20,Nouveau,Tanger,75
159,Soufiane,Homme,29,Nouveau,Oujda,50
160,Fatiha,Femme,33,Fidèle,Meknès,60
161,Rabia,Femme,44,Nouveau,Laâyoune,55
162,Aissam,Homme,43,Nouveau,Kénitra,65
163,Habib,Homme,52,Nouveau,Oujda,50
164,Salma,Femme,60,Nouveau,Tanger,75
165,Mounir,Homme,60,Nouveau,Mohammedia,85
166,Basma,Femme,26,Nouveau,Laâyoune,55
167,Kaoutar,Femme,66,Fidèle,Meknès,60
168,Mehdi,Homme,34,Nouveau,Rabat,90
169,Taha,Homme,56,Fidèle,Laâyoune,55
170,Anwar,Homme,57,Nouveau,Casablanca,95
171,Taha,Homme,23,Nouveau,Kénitra,65
172,Bahia,Femme,36,Nouveau,Marrakech,80
173,Yassine,Homme,39,Nouveau,Salé,75
174,Adil,Homme,50,Fidèle,Kénitra,65
175,Sara,Femme,22,Nouveau,Agadir,70
176,Hiba,Femme,23,Nouveau,Meknès,60
177,Zineb,Femme,41,Nouveau,Salé,75
178,Intissar,Femme,45,Nouveau,Casablanca,95
179,Zakaria,Homme,21,Nouveau,Tanger,75
180,Oumaima,Femme,32,Nouveau,Laâyoune,55
181,Bahia,Femme,36,Fidèle,Mohammedia,85
182,Abdelhak,Homme,54,Nouveau,Mohammedia,85
183,Meryem,Femme,32,Fidèle,Agadir,70
184,Tarik,Homme,40,Nouveau,Salé,75
185,Raja,Femme,35,Nouveau,Fès,60
186,Raja,Femme,49,Nouveau,Agadir,70
187,Zahra,Femme,55,Nouveau,Fès,60
188,Hajar,Femme,38,Nouveau,Tanger,75
189,Ghali,Homme,42,Nouveau,Rabat,90
190,Saad,Homme,21,Nouveau,Mohammedia,85
191,Kenaza,Femme,34,Nouveau,Oujda,50
192,Anwar,Homme,44,Nouveau,Laâyoune,55
193,Hassan,Homme,38,Nouveau,Mohammedia,85
194,Mohamed,Homme,56,Nouveau,Tanger,75
195,Aissam,Homme,57,Nouveau,Kénitra,65
196,Ahmed,Homme,33,Nouveau,Marrakech,80
197,Rachid,Homme,22,Nouveau,Laâyoune,55
198,Hamza,Homme,41,Nouveau,Tanger,75
199,Wiam,Femme,67,Nouveau,Salé,75
200,Walid,Homme,54,Fidèle,Tanger,75
201,Issam,Homme,61,Fidèle,Mohammedia,85
202,Ghita,Femme,53,Nouveau,Salé,75
203,Ayoub,Homme,45,Nouveau,Tanger,75
204,Abdelhak,Homme,39,Nouveau,Salé,75
205,Raja,Femme,32,Nouveau,Kénitra,65
206,Hiba,Femme,20,Nouveau,Agadir,70
207,Amine,Homme,39,Nouveau,Tanger,75
208,Randa,Femme,43,Fidèle,Meknès,60
209,Abdellah,Homme,53,Fidèle,Salé,75
210,Sami,Homme,34,Nouveau,Tanger,75
211,Soufiane,Homme,61,Fidèle,Laâyoune,55
212,Ikram,Femme,65,Nouveau,Tanger,75
213,Omar,Homme,52,Nouveau,Tanger,75
214,Anwar,Homme,61,Nouveau,Meknès,60
215,Lamia,Femme,25,Fidèle,Agadir,70
216,Zahra,Femme,56,Fidèle,Rabat,90
217,Said,Homme,58,Nouveau,Tanger,75
218,Wiam,Femme,34,Nouveau,Oujda,50
219,Wiam,Femme,52,Fidèle,Kénitra,65
220,Noureddine,Homme,50,Nouveau,Kénitra,65
221,Faycal,Homme,26,Nouveau,Fès,60
222,Omar,Homme,21,Nouveau,Oujda,50
223,Jawad,Homme,47,Nouveau,Kénitra,65
224,Khalid,Homme,39,Nouveau,Casablanca,95
225,Dounia,Femme,48,Fidèle,Marrakech,80
226,Ali,Homme,21,Nouveau,Meknès,60
227,Anas,Homme,56,Nouveau,Mohammedia,85
228,Driss,Homme,49,Nouveau,Casablanca,95
229,Sami,Homme,49,Nouveau,Tanger,75
230,Nabil,Homme,31,Nouveau,Laâyoune,55
231,Dounia,Femme,36,Nouveau,Agadir,70
232,Ghita,Femme,33,Nouveau,Casablanca,95
233,Touria,Femme,61,Nouveau,Laâyoune,55
234,Nawal,Femme,49,Nouveau,Meknès,60
235,Amina,Femme,40,Nouveau,Rabat,90
236,Walid,Homme,37,Nouveau,Tanger,75
237,Nouzha,Femme,56,Nouveau,Kénitra,65
238,Ayoub,Homme,50,Nouveau,Laâyoune,55
239,Loubna,Femme,46,Nouveau,Rabat,90
240,Nadia,Femme,56,Fidèle,Mohammedia,85
241,Jalal,Homme,49,Nouveau,Mohammedia,85
242,Abdelaziz,Homme,67,Fidèle,Marrakech,80
243,Malika,Femme,37,Nouveau,Tanger,75
244,Fouad,Homme,34,Nouveau,Laâyoune,55
245,Youssef,Homme,34,Nouveau,Rabat,90
246,Souad,Femme,52,Fidèle,Marrakech,80
247,Zahra,Femme,42,Fidèle,Fès,60
248,Raja,Femme,30,Nouveau,Kénitra,65
249,Bouchra,Femme,42,Nouveau,Kénitra,65
250,Hiba,Femme,42,Nouveau,Mohammedia,85
251,Raja,Femme,31,Nouveau,Oujda,50
252,Bahia,Femme,45,Nouveau,Salé,75
253,Brahim,Homme,64,Nouveau,Meknès,60
254,Khadija,Femme,30,Nouveau,Mohammedia,85
255,Wiam,Femme,26,Nouveau,Mohammedia,85
256,Soukaina,Femme,22,Nouveau,Oujda,50
257,Touria,Femme,44,Nouveau,Kénitra,65
258,Mounir,Homme,68,Fidèle,Casablanca,95
259,Latifa,Femme,56,Nouveau,Rabat,90
260,Saad,Homme,58,Fidèle,Agadir,70
261,Kaoutar,Femme,39,Nouveau,Oujda,50
262,Ilyas,Homme,46,Fidèle,Oujda,50
263,Rayan,Homme,56,Fidèle,Laâyoune,55
264,Malak,Femme,49,Fidèle,Salé,75
265,Randa,Femme,38,Nouveau,Casablanca,95
266,Zouhair,Homme,24,Nouveau,Tanger,75
267,Siham,Femme,32,Fidèle,Meknès,60
268,Said,Homme,36,Nouveau,Kénitra,65
269,Salah,Homme,56,Nouveau,Laâyoune,55
270,Brahim,Homme,39,Nouveau,Casablanca,95
271,Kaoutar,Femme,35,Nouveau,Rabat,90
272,Souad,Femme,51,Nouveau,Meknès,60
273,Imane,Femme,23,Fidèle,Oujda,50
274,Driss,Homme,41,Fidèle,Meknès,60
275,Rachid,Homme,67,Nouveau,Mohammedia,85
276,Wiam,Femme,50,Fidèle,Mohammedia,85
277,Latifa,Femme,49,Fidèle,Kénitra,65
278,Youssef,Homme,49,Nouveau,Salé,75
279,Hamza,Homme,21,Nouveau,Mohammedia,85
280,Khalid,Homme,56,Nouveau,Agadir,70
281,Kamal,Homme,56,Nouveau,Salé,75
282,Oumaima,Femme,51,Nouveau,Laâyoune,55
283,Randa,Femme,61,Nouveau,Salé,75
284,Tarik,Homme,23,Nouveau,Casablanca,95
285,Yassine,Homme,20,Fidèle,Mohammedia,85
286,Fatima,Femme,58,Nouveau,Meknès,60
287,Zineb,Femme,38,Nouveau,Agadir,70
288,Fatima,Femme,62,Nouveau,Fès,60
289,Malak,Femme,62,Fidèle,Laâyoune,55
290,Malak,Femme,35,Nouveau,Kénitra,65
291,Soukaina,Femme,46,Fidèle,Casablanca,95
292,Keltoum,Femme,33,Nouveau,Tanger,75
293,Sara,Femme,65,Nouveau,Rabat,90
294,Loubna,Femme,62,Nouveau,Mohammedia,85
295,Imane,Femme,20,Fidèle,Agadir,70
296,Zakaria,Homme,56,Nouveau,Oujda,50
297,Wiam,Femme,66,Nouveau,Fès,60
298,Jalal,Homme,54,Fidèle,Tanger,75
299,Basma,Femme,49,Nouveau,Rabat,90
300,Safae,Femme,28,Nouveau,Kénitra,65
301,Ilyas,Homme,35,Nouveau,Rabat,90
302,Rayan,Homme,59,Fidèle,Laâyoune,55
303,Karim,Homme,51,Fidèle,Rabat,90
304,Hiba,Femme,67,Nouveau,Kénitra,65
305,Saad,Homme,63,Nouveau,Laâyoune,55
306,Yasmine,Femme,54,Fidèle,Fès,60
307,Adil,Homme,20,Nouveau,Mohammedia,85
308,Kenaza,Femme,39,Nouveau,Mohammedia,85
309,Asmae,Femme,25,Fidèle,Laâyoune,55
310,Zouhair,Homme,32,Nouveau,Salé,75
311,Kenaza,Femme,45,Fidèle,Agadir,70
312,Nawal,Femme,66,Nouveau,Mohammedia,85
313,Hicham,Homme,48,Fidèle,Kénitra,65
314,Raja,Femme,43,Nouveau,Marrakech,80
315,Karim,Homme,45,Fidèle,Rabat,90
316,Aissam,Homme,28,Nouveau,Salé,75
317,Ikram,Femme,57,Nouveau,Rabat,90
318,Amine,Homme,30,Nouveau,Salé,75
319,Zineb,Femme,31,Nouveau,Meknès,60
320,Ali,Homme,40,Nouveau,Tanger,75
321,Simohamed,Homme,34,Nouveau,Agadir,70
322,Intissar,Femme,50,Nouveau,Kénitra,65
323,Kenaza,Femme,61,Nouveau,Salé,75
324,Fatiha,Femme,24,Nouveau,Salé,75
325,Khadija,Femme,52,Nouveau,Oujda,50
326,Malak,Femme,44,Fidèle,Oujda,50
327,Khalid,Homme,52,Nouveau,Agadir,70
328,Imane,Femme,24,Nouveau,Mohammedia,85
329,Said,Homme,39,Nouveau,Mohammedia,85
330,Touria,Femme,26,Nouveau,Oujda,50
331,Aissam,Homme,37,Fidèle,Kénitra,65
332,Jalal,Homme,50,Nouveau,Mohammedia,85
333,Driss,Homme,47,Fidèle,Oujda,50
334,Adil,Homme,28,Fidèle,Laâyoune,55
335,Nouzha,Femme,39,Nouveau,Laâyoune,55
336,Hasna,Femme,25,Fidèle,Laâyoune,55
337,Salma,Femme,54,Nouveau,Fès,60
338,Sara,Femme,39,Nouveau,Marrakech,80
339,Dounia,Femme,42,Nouveau,Fès,60
340,Zineb,Femme,56,Nouveau,Oujda,50
341,Kaoutar,Femme,37,Nouveau,Kénitra,65
342,Kenaza,Femme,23,Nouveau,Fès,60
343,Latifa,Femme,66,Nouveau,Agadir,70
344,Intissar,Femme,31,Nouveau,Fès,60
345,Anwar,Homme,34,Fidèle,Marrakech,80
346,Bouchra,Femme,24,Fidèle,Casablanca,95
347,Fatima,Femme,49,Fidèle,Salé,75
348,Kenaza,Femme,59,Nouveau,Mohammedia,85
349,Aissam,Homme,66,Fidèle,Rabat,90
350,Zineb,Femme,46,Nouveau,Oujda,50
351,Jawad,Homme,57,Nouveau,Mohammedia,85
352,Fatiha,Femme,24,Nouveau,Kénitra,65
353,Kenaza,Femme,68,Nouveau,Marrakech,80
354,Meryem,Femme,61,Nouveau,Marrakech,80
355,Brahim,Homme,43,Fidèle,Agadir,70
356,Bouchra,Femme,60,Nouveau,Meknès,60
357,Rachid,Homme,39,Nouveau,Meknès,60
358,Lamia,Femme,67,Nouveau,Tanger,75
359,Noureddine,Homme,25,Nouveau,Agadir,70
360,Hajar,Femme,42,Fidèle,Fès,60
361,Hicham,Homme,23,Fidèle,Laâyoune,55
362,Brahim,Homme,32,Nouveau,Kénitra,65
363,Ilyas,Homme,40,Fidèle,Meknès,60
364,Noureddine,Homme,61,Nouveau,Fès,60
365,Youssef,Homme,46,Nouveau,Fès,60
366,Souad,Femme,62,Nouveau,Rabat,90
367,Said,Homme,63,Fidèle,Marrakech,80
368,Mustapha,Homme,56,Fidèle,Fès,60
369,Mustapha,Homme,40,Fidèle,Agadir,70
370,Habib,Homme,40,Nouveau,Agadir,70
371,Malika,Femme,40,Nouveau,Kénitra,65
372,Nabil,Homme,25,Fidèle,Rabat,90
373,Rabia,Femme,23,Nouveau,Mohammedia,85
374,Wiam,Femme,30,Fidèle,Casablanca,95
375,Nouzha,Femme,41,Fidèle,Casablanca,95
376,Yassine,Homme,57,Nouveau,Marrakech,80
377,Khalid,Homme,53,Nouveau,Mohammedia,85
378,Badr,Homme,58,Fidèle,Oujda,50
379,Amina,Femme,62,Nouveau,Mohammedia,85
380,Rayan,Homme,34,Nouveau,Tanger,75
381,Malak,Femme,53,Nouveau,Agadir,70
382,Kenza,Femme,58,Fidèle,Casablanca,95
383,Ilyas,Homme,42,Fidèle,Tanger,75
384,Raja,Femme,50,Nouveau,Laâyoune,55
385,Badr,Homme,34,Fidèle,Rabat,90
386,Touria,Femme,32,Fidèle,Casablanca,95
387,Imane,Femme,54,Nouveau,Laâyoune,55
388,Salma,Femme,60,Fidèle,Oujda,50
389,Nadia,Femme,42,Nouveau,Mohammedia,85
390,Siham,Femme,41,Nouveau,Marrakech,80
391,Kaoutar,Femme,22,Nouveau,Marrakech,80
392,Malak,Femme,47,Nouveau,Meknès,60
393,Abdelaziz,Homme,35,Fidèle,Laâyoune,55
394,Mustapha,Homme,65,Nouveau,Oujda,50
395,Nouamane,Homme,48,Fidèle,Casablanca,95
396,Mehdi,Homme,24,Fidèle,Kénitra,65
397,Jawad,Homme,45,Fidèle,Casablanca,95
398,Adil,Homme,25,Nouveau,Agadir,70
399,Younes,Homme,58,Nouveau,Casablanca,95
400,Anwar,Homme,66,Nouveau,Kénitra,65
401,Abdellah,Homme,35,Nouveau,Fès,60
402,Simohamed,Homme,58,Nouveau,Fès,60
403,Salma,Femme,49,Fidèle,Oujda,50
404,Nisrine,Femme,60,Fidèle,Oujda,50
405,Keltoum,Femme,38,Nouveau,Kénitra,65
406,Ikram,Femme,61,Nouveau,Casablanca,95
407,Imane,Femme,42,Fidèle,Oujda,50
408,Bouchra,Femme,54,Nouveau,Agadir,70
409,Youssef,Homme,67,Nouveau,Tanger,75
410,Simohamed,Homme,42,Nouveau,Kénitra,65
411,Chaimae,Femme,65,Fidèle,Mohammedia,85
412,Salma,Femme,38,Nouveau,Rabat,90
413,Anwar,Homme,64,Fidèle,Marrakech,80
414,Yasmine,Femme,34,Nouveau,Laâyoune,55
415,Majda,Femme,66,Fidèle,Meknès,60
416,Soukaina,Femme,38,Nouveau,Meknès,60
417,Rachid,Homme,48,Nouveau,Salé,75
418,Majda,Femme,46,Fidèle,Salé,75
419,Meryem,Femme,26,Nouveau,Fès,60
420,Omar,Homme,43,Fidèle,Marrakech,80
421,Fatima,Femme,41,Nouveau,Meknès,60
422,Said,Homme,34,Fidèle,Laâyoune,55
423,Bouchra,Femme,32,Nouveau,Marrakech,80
424,Keltoum,Femme,25,Nouveau,Agadir,70
425,Aissam,Homme,30,Nouveau,Rabat,90
426,Khadija,Femme,25,Fidèle,Marrakech,80
427,Jawad,Homme,24,Nouveau,Rabat,90
428,Raja,Femme,24,Nouveau,Salé,75
429,Rachid,Homme,26,Fidèle,Kénitra,65
430,Touria,Femme,66,Nouveau,Laâyoune,55
431,Brahim,Homme,31,Nouveau,Salé,75
432,Nouzha,Femme,29,Nouveau,Agadir,70
433,Hamza,Homme,25,Nouveau,Oujda,50
434,Issam,Homme,65,Fidèle,Fès,60
435,Nouamane,Homme,36,Nouveau,Marrakech,80
436,Meriem,Femme,34,Nouveau,Fès,60
437,Safae,Femme,61,Nouveau,Rabat,90
438,Ikram,Femme,22,Nouveau,Laâyoune,55
439,Khadija,Femme,40,Nouveau,Marrakech,80
440,Said,Homme,47,Nouveau,Fès,60
441,Latifa,Femme,35,Nouveau,Kénitra,65
442,Hicham,Homme,64,Fidèle,Laâyoune,55
443,Mohamed,Homme,24,Nouveau,Rabat,90
444,Zouhair,Homme,26,Fidèle,Rabat,90
445,Malak,Femme,49,Nouveau,Oujda,50
446,Oussama,Homme,63,Nouveau,Tanger,75
447,Ali,Homme,46,Fidèle,Mohammedia,85
448,Jaouad,Homme,23,Nouveau,Rabat,90
449,Touria,Femme,45,Nouveau,Casablanca,95
450,Habib,Homme,58,Fidèle,Laâyoune,55
451,Loubna,Femme,51,Nouveau,Fès,60
452,Youssef,Homme,51,Nouveau,Fès,60
453,Nawal,Femme,31,Nouveau,Casablanca,95
454,Anas,Homme,33,Nouveau,Laâyoune,55
455,Bahia,Femme,66,Fidèle,Agadir,70
456,Loubna,Femme,51,Fidèle,Rabat,90
457,Ahmed,Homme,43,Nouveau,Tanger,75
458,Tarik,Homme,20,Fidèle,Mohammedia,85
459,Nouamane,Homme,61,Nouveau,Oujda,50
460,Abdellah,Homme,37,Nouveau,Salé,75
461,Khalid,Homme,52,Nouveau,Oujda,50
462,Taha,Homme,23,Nouveau,Casablanca,95
463,Rayan,Homme,43,Fidèle,Casablanca,95
464,Oumaima,Femme,36,Nouveau,Laâyoune,55
465,Mehdi,Homme,20,Fidèle,Laâyoune,55
466,Hassan,Homme,57,Nouveau,Marrakech,80
467,Issam,Homme,44,Nouveau,Meknès,60
468,Zineb,Femme,68,Fidèle,Laâyoune,55
469,Abdelaziz,Homme,38,Nouveau,Laâyoune,55
470,Bouchra,Femme,44,Nouveau,Oujda,50
471,Nouzha,Femme,61,Nouveau,Marrakech,80
472,Salah,Homme,46,Nouveau,Rabat,90
473,Mustapha,Homme,25,Nouveau,Tanger,75
474,Mohamed,Homme,39,Nouveau,Mohammedia,85
475,Wiam,Femme,35,Nouveau,Meknès,60
476,Abderrahmane,Homme,46,Nouveau,Mohammedia,85
477,Zahra,Femme,34,Fidèle,Casablanca,95
478,Tarik,Homme,34,Nouveau,Mohammedia,85
479,Badr,Homme,44,Nouveau,Marrakech,80
480,Soukaina,Femme,39,Nouveau,Salé,75
481,Hicham,Homme,41,Fidèle,Tanger,75
482,Ghita,Femme,20,Fidèle,Meknès,60
483,Jaouad,Homme,35,Fidèle,Fès,60
484,Reda,Homme,41,Nouveau,Fès,60
485,Ahmed,Homme,38,Fidèle,Salé,75
486,Jawad,Homme,59,Fidèle,Tanger,75
487,Safae,Femme,26,Nouveau,Tanger,75
488,Adil,Homme,57,Nouveau,Meknès,60
489,Badr,Homme,51,Nouveau,Oujda,50
490,Yasmine,Femme,28,Nouveau,Tanger,75
491,Rabia,Femme,57,Nouveau,Mohammedia,85
492,Nawal,Femme,30,Fidèle,Laâyoune,55
493,Jalal,Homme,65,Fidèle,Mohammedia,85
494,Raja,Femme,44,Nouveau,Fès,60
495,Nabil,Homme,46,Nouveau,Laâyoune,55
496,Ayoub,Homme,64,Fidèle,Mohammedia,85
497,Oumaima,Femme,24,Fidèle,Fès,60
498,Hajar,Femme,30,Nouveau,Agadir,70
499,Sanae,Femme,34,Nouveau,Salé,75
500,Younes,Homme,40,Nouveau,Casablanca,95
501,Safae,Femme,44,Fidèle,Rabat,90
502,Randa,Femme,66,Nouveau,Kénitra,65
503,Imane,Femme,23,Nouveau,Salé,75
504,Sara,Femme,45,Nouveau,Fès,60
505,Marouane,Homme,47,Nouveau,Mohammedia,85
506,Reda,Homme,40,Nouveau,Mohammedia,85
507,Faycal,Homme,32,Nouveau,Rabat,90
508,Nadia,Femme,45,Nouveau,Agadir,70
509,Nabil,Homme,29,Nouveau,Rabat,90
510,Meriem,Femme,40,Nouveau,Kénitra,65
511,Sami,Homme,40,Nouveau,Agadir,70
512,Fatima,Femme,62,Fidèle,Rabat,90
513,Nouamane,Homme,34,Nouveau,Laâyoune,55
514,Ayoub,Homme,28,Nouveau,Marrakech,80
515,Youssef,Homme,66,Nouveau,Oujda,50
516,Mehdi,Homme,64,Fidèle,Marrakech,80
517,Omar,Homme,24,Nouveau,Fès,60
518,Safae,Femme,47,Nouveau,Oujda,50
519,Marouane,Homme,67,Nouveau,Marrakech,80
520,Brahim,Homme,48,Nouveau,Rabat,90
521,Nadia,Femme,28,Nouveau,Rabat,90
522,Nouzha,Femme,55,Fidèle,Meknès,60
523,Ali,Homme,28,Nouveau,Salé,75
524,Ilyas,Homme,41,Nouveau,Oujda,50
525,Majda,Femme,48,Fidèle,Mohammedia,85
